name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Instacrime: Munford,307369,5.8041,2,2020,2,6,40,60,10,224,0
Set a Watch: Swords of the Coin,307386,7.678,2.7333,2021,1,4,60,75,10,2722,0
The Number,307450,6.0676,1.125,2020,2,5,15,20,8,705,0
Большая Бродилка (Big Adventure),307534,6.50116,1.25,2019,2,5,20,40,8,145,0
Steam Up: A Feast of Dim Sum,307561,6.82319,1.6087,2023,2,5,40,60,8,2354,0
K2: Big Box,307621,7.68498,2.3333,2020,1,5,60,60,8,593,0
Seastead,307656,6.82743,2.6667,2020,1,2,30,30,12,1107,0
Dawn of Battle,307703,6.96875,2.3333,2021,2,2,120,240,14,168,0
High Noon,307715,7.57792,2,2021,2,6,60,120,9,153,0
KOMBIO,307728,8.00526,2,2019,2,8,10,180,7,137,0
The Lost Valley: The Siege of Diên Biên Phù,307803,7.83056,2.8,2020,1,1,90,120,14,127,0
The Alpha,307832,6.76212,1.4118,2020,3,6,20,45,10,1021,0
Atheneum: Mystic Library,307844,7.09691,1.7917,2020,2,5,30,45,10,1409,0
Dollars to Donuts,307862,7.03637,1.8571,2021,1,4,30,45,8,859,0
"Risk: Warhammer 40,000",307929,7.09804,2,2020,2,5,60,120,10,230,0
Durian,307963,6.90586,1.125,2020,2,7,20,20,7,1375,0
Fairy Tale Inn,307971,7.01148,1.3333,2021,2,2,15,20,8,1147,0
Insider Black,307997,7.24239,1,2020,4,8,10,15,9,890,0
Pax Renaissance: 2nd Edition,308119,8.54766,4.5805,2021,1,4,60,120,12,4042,1
CHAINsomnia,308231,6.92143,2,2018,1,4,40,60,14,152,0
The Batman Who Laughs Rising,308329,7.08461,2.4286,2020,1,4,60,90,15,658,0
Open Ocean,308354,6.62084,1.3333,2020,1,5,20,30,8,315,0
Royale,308381,6.87172,1.5,2020,3,5,20,20,8,202,0
Nytelyfe Solitaire,308385,6.81316,1,2020,1,1,20,20,8,204,0
LANTERN,308386,6.69034,1.4,2019,1,1,10,20,7,237,0
Egizia: Shifting Sands – Kickstarter Edition,308388,7.77733,3,2019,2,4,90,90,14,406,0
Tapeworm,308416,6.51143,1,2020,2,4,15,30,8,1512,0
Regency,308475,8.00981,2,2021,2,6,20,40,10,131,0
Relics of Rajavihara,308493,7.25299,1.625,2021,1,1,15,60,12,898,0
Clash of Deck,308500,6.74241,1.5,2020,2,2,15,30,8,447,0
Puns of Anarchy,308529,6.59902,1,2020,3,6,30,90,17,664,0
Roll n Cook,308565,7.27323,1.9,2020,1,99,15,45,0,282,0
