BGGId,Name,YearPublished,Complexity,ComplexityCategory,AvgRating,MinPlayers,MaxPlayers,NumOwned,MfgPlaytime,ComMinPlaytime,ComMaxPlaytime,MfgAgeRec,NumUserRatings,TotalMechanics,boardgamerank,strategygamesrank,abstractsrank,familygamesrank,thematicrank,cgsrank,wargamesrank,partygamesrank,childrensgamesrank,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
15474,Zombiaki,2003,1.6056,Low complexity,6.15011,2,2,994,15,15,15,8,739,2,5536,21926,21926,21926,844,21926,21926,21926,21926,1,0,0,0,0,0,0,0
4884,The Legend Begins,1991,3.2609,High complexity,7.77569,2,2,581,240,240,240,12,144,1,5537,21926,21926,21926,21926,21926,572,21926,21926,0,0,1,0,0,0,0,0
133437,Dead Panic,2013,2.2558,Average complexity,5.97179,2,6,2721,90,90,90,13,1098,5,5538,21926,21926,1440,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
27298,Owner's Choice,2006,1.75,Low complexity,6.17425,2,5,701,45,45,45,10,604,2,5539,1763,21926,1387,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0
162315,Mouse Guard: Swords & Strongholds,2015,1.375,Low complexity,7.00453,2,2,738,30,15,30,8,243,1,5540,21926,274,21926,21926,21926,21926,21926,21926,0,0,0,0,0,1,0,0
34747,Jena 20,2008,1.8824,Low complexity,6.76125,2,2,928,50,50,50,0,271,1,5541,21926,21926,21926,21926,21926,848,21926,21926,0,0,1,0,0,0,0,0
301665,DC Deck-Building Game: Dark Nights – Metal,2020,2,Average complexity,7.96393,2,5,514,75,45,75,15,151,2,5542,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
33759,Omega Centauri,2014,3.1429,High complexity,6.97972,2,4,512,60,60,60,12,249,2,5543,1733,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
153991,Salvation Road,2016,2.3333,Average complexity,6.82863,1,8,638,75,45,75,10,262,5,5544,21926,21926,21926,754,21926,21926,21926,21926,1,0,0,0,0,0,0,0
2224,Circus Imperium,1988,2.0476,Average complexity,6.73969,2,12,538,120,120,120,12,286,2,5545,21926,21926,21926,766,21926,21926,21926,21926,1,0,0,0,0,0,0,0
237009,Urbino,2017,2.4,Average complexity,8.13613,2,2,200,45,30,45,10,119,2,5546,21926,135,21926,21926,21926,21926,21926,21926,0,0,0,0,0,1,0,0
126000,Letnisko,2013,2.1818,Average complexity,6.66568,2,5,417,45,45,45,8,303,1,5547,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
192858,"Mrs Thatcher's War: The Falklands, 1982",2017,2.8,Average complexity,7.98647,1,1,481,250,100,250,12,133,7,5548,21926,21926,21926,21926,21926,513,21926,21926,0,0,1,0,0,0,0,0
951,Football Strategy,1959,1.5556,Low complexity,6.42525,2,4,860,150,150,150,10,415,8,5549,1822,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
153238,Ivor the Engine,2014,1.9545,Low complexity,6.40278,3,5,743,60,60,60,8,370,3,5550,21926,21926,1376,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
146818,Cappuccino,2013,1.25,Low complexity,6.22843,2,4,658,20,10,20,8,522,3,5551,21926,312,21926,21926,21926,21926,21926,21926,0,0,0,0,0,1,0,0
230315,The Sanctuary: Endangered Species,2017,3.25,High complexity,6.75455,2,4,338,60,30,60,10,268,2,5552,1734,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
232924,"Charlemagne, Master of Europe",2017,3.2353,High complexity,7.64519,1,1,494,180,180,180,0,156,5,5553,21926,21926,21926,21926,21926,691,21926,21926,0,0,1,0,0,0,0,0
217553,Go Go Gelato!,2017,1,Low complexity,6.35117,2,4,760,15,15,15,6,435,2,5554,21926,21926,21926,21926,21926,21926,21926,92,0,0,0,0,0,0,0,1
